state,year,exp_amo,dem_comm_exp,rep_comm_exp,dem_adv_exp,rep_adv_exp,dem_research_exp,rep_research_exp,dem_others_exp,rep_others_exp,dem_logistics_exp,rep_logistic_exp,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
AK,2012,2770679.4300000025,0.00125,0.18734546,0.16890027,2.39073702,0.0,0.00129657,8.334e-05,0.01654261,0.0,0.00452416,0.25739576000000003,2.513283670000002,40.81265911246443,54.801577397294466,203051.0,0.18547,0.8562700000000001
AK,2016,36118248.7700023,1.19059408,0.054232129999999996,18.30424069999999,15.435947340000006,0.28161284,0.0225,0.5600959000000013,0.13227215,0.05603669000000011,0.08071693999999999,16.27741072999935,19.84083804,36.04137265096932,50.566676570353316,196210.0,0.1868,0.91427
AK,2020,29594219.040000003,0.5927412,0.05329567000000001,16.01735888,0.10932248,0.001,0.0,0.00075205,0.0,0.0009479299999999999,0.0,0.0,0.0033950800000000004,39.199327449367054,48.52279057407001,0.0,0.0,0.0
AL,2012,7077524.290000002,0.68500779,0.12158129000000001,3.06078805,2.9250830199999998,0.0,0.06430698000000001,0.08999850000000001,0.008586680000000001,0.12217198000000001,0.0,1.67988429,5.397640000000003,38.43286627932531,60.662360476691646,3371064.0,12.75628,1.6889599999999998
AL,2016,1835096.7300000004,0.0,0.12522167,0.60944029,1.0751101399999998,0.0,0.0,0.0,0.02293463,0.0,0.0023899999999999998,0.0,1.7905818300000005,34.3580266623716,62.08300307954301,3374106.0,13.01635,1.8778400000000002
AL,2020,28085542.630000018,0.7470575399999999,0.76909422,15.782765570000004,9.531822239999999,0.031117879999999997,0.08524487,0.13060526000000003,0.49614637000000006,0.43729066999999994,0.07439801,5.22104463,14.987054540000004,36.57067693250647,62.03096968799606,3389396.0,13.13291,2.0049799999999998
AR,2012,7045185.860000133,0.47023847999999996,0.16653457,4.262138100000001,1.7814586999999988,0.202985,0.015,0.13056432000000054,0.0026429399999999994,0.013110459999999977,0.00051329,5.081019810000063,1.9641660500000284,36.87899030172011,60.56693608410911,2361880.0,4.594180000000001,1.30866
AR,2016,41072034.52000002,0.33477413,0.5950794000000001,16.55225392,22.965697980000005,0.0,0.07415,0.00196779,0.33403399999999955,0.0,0.2140772999999999,17.039377950000045,24.03265657,33.675134702662895,60.61372020079725,2372809.0,4.69025,1.48084
AR,2020,7448990.950000003,0.17408342000000002,0.20157111999999994,4.408192369999999,2.5037312800000002,0.0,0.0,0.005,0.0,0.15641276,0.0,0.6650258000000001,1.0026718000000001,34.77506195301496,62.39572985614432,2385258.0,4.73048,1.5949799999999998
AZ,2012,44169823.729999945,0.28122119,1.5851393400000005,21.71047273,19.664587739999995,0.0,0.25112982000000006,0.07568746000000004,0.19470067,0.38040362999999994,0.026481150000000002,17.663934229999995,26.50588949999999,44.58976694179938,53.65453316597471,5518860.0,2.9826099999999998,7.37857
