state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
AK,2012,0.25739576000000003,2.513283670000002,40.81265911246443,54.801577397294466,2.03051,0.18547,0.85627
AK,2016,16.27741072999935,19.84083804,36.04137265096932,50.566676570353316,1.9621,0.1868,0.91427
AK,2020,0.0,0.0033950800000000004,39.199327449367054,48.52279057407001,0.0,0.0,0.0
AL,2012,1.67988429,5.397640000000003,38.43286627932531,60.662360476691646,33.71064,12.75628,1.68896
AL,2016,0.0,1.7905818300000005,34.3580266623716,62.08300307954301,33.74106,13.01635,1.87784
AL,2020,5.22104463,14.987054540000004,36.57067693250647,62.03096968799606,33.89396,13.13291,2.00498
AR,2012,5.081019810000063,1.9641660500000284,36.87899030172011,60.56693608410911,23.6188,4.59418,1.30866
AR,2016,17.039377950000045,24.032656569999997,33.675134702662895,60.613720200797246,23.72809,4.69025,1.48084
AR,2020,0.6650258000000001,1.0026718,34.77506195301496,62.39572985614432,23.85258,4.73048,1.59498
AZ,2012,17.663934229999995,26.50588949999999,44.58976694179938,53.65453316597471,55.1886,2.98261,7.37857
AZ,2016,10.192598960000002,22.023156489999995,44.17172989809629,47.64234489621707,57.73622,3.40938,8.26512
AZ,2020,34.591022599999945,34.104906460000024,49.364690614366616,49.05598103046474,60.13442,3.76997,8.88278
CA,2012,30.40203704999999,25.699173050000038,60.23895914168964,37.1203785207048,279.87654,25.04171,74.56975
CA,2016,31.428790749999994,29.199957399999995,61.72639960455788,31.61710653843944,284.84043,25.37131,81.45943
CA,2020,23.562791799999985,45.41049805999964,63.49922090345022,34.327807888313984,284.24739,25.52757,85.34727
CO,2012,23.092258210000033,23.384375860000034,51.49421010370086,46.124947795378894,45.7708,2.25384,3.90183
CO,2016,38.657124559999964,53.80460421000001,48.156980382847394,43.25139737143103,48.42319,2.50138,4.46758
CO,2020,5.25445915,9.53059096,55.400001166734675,41.89827117554352,50.06612,2.64479,4.87645
CT,2012,2.8294937399999998,15.618517480000005,58.14462568754096,40.70372894176565,29.44177,4.02512,2.47858
CT,2016,0.08654358000000002,0.80087306,54.56630109670987,40.926914378814786,28.86999,4.18863,2.72279
CT,2020,0.09573526,0.0,59.23871335540597,39.20949634924463,28.41541,4.34585,2.89161
DC,2012,1.495414639999999,0.0,90.91311392818727,7.278291417600522,0.0,0.0,0.0
DC,2016,0.0,0.0,90.86382152999987,4.0874744593083765,0.0,0.0,0.0
DC,2020,0.00214522,942.1175414300003,92.14969392140692,5.397321376714794,0.0,0.0,0.0
DE,2012,0.14907685999999998,0.9724115400000004,58.60408709537925,39.97806429480815,6.52811,2.02425,0.59943
DE,2016,0.0,0.017905059999999997,53.18388160642171,41.78967351923377,6.65087,2.15073,0.68761
DE,2020,2.09467592,0.0,58.782167020495635,39.80139282950735,6.74075,2.25544,0.74145
FL,2012,22.618086039999927,59.32022002999997,50.007865068698685,49.13097776197553,150.93632,32.1952,9.8467
FL,2016,66.56850993000374,70.0804203600011,47.823315805805045,49.021941416590735,160.02588,34.72527,11.38362
FL,2020,71.15891884999998,54.55675367000005,47.861450725442225,51.21981962250403,165.97392,36.33515,12.4683
GA,2012,4.809566309999998,8.007089279999995,45.482160485121994,53.299008987064276,62.04819,30.99388,5.97223
GA,2016,16.204665730000002,18.397942620000006,45.64021628736503,50.7715851732965,63.05959,32.98868,6.97063
GA,2020,17.57342426000008,10.405797600000012,49.49526943907977,49.25958177695571,63.91505,34.58147,7.67771
HI,2012,2.61872475,2.33209631,70.53228655454251,27.851485764161573,3.58617,0.26509,10.09589
