state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc
AK,2012,0.25739576000000003,2.513283670000002,40.81265911246443,54.801577397294466
AK,2016,16.27741072999935,19.84083804,36.04137265096932,50.566676570353316
AK,2020,0.0,0.0033950800000000004,39.199327449367054,48.52279057407001
AL,2012,1.67988429,5.397640000000002,38.43286627932531,60.66236047669165
AL,2016,0.0,1.7905818300000005,34.3580266623716,62.08300307954301
AL,2020,5.22104463,14.987054540000004,36.570676932506466,62.03096968799606
AR,2012,5.081019810000064,1.9641660500000284,36.87899030172011,60.56693608410911
AR,2016,17.039377950000045,24.032656569999993,33.6751347026629,60.61372020079724
AR,2020,0.6650258000000001,1.0026718000000001,34.77506195301496,62.39572985614432
AZ,2012,17.663934229999995,26.505889499999988,44.58976694179938,53.654533165974705
AZ,2016,10.192598960000002,22.023156489999995,44.17172989809629,47.64234489621707
AZ,2020,34.59102259999995,34.104906460000024,49.364690614366616,49.055981030464736
CA,2012,30.40203704999999,25.699173050000038,60.23895914168964,37.1203785207048
CA,2016,31.428790749999994,29.1999574,61.726399604557876,31.617106538439437
CA,2020,23.562791799999985,45.41049805999964,63.499220903450215,34.327807888313984
CO,2012,23.09225821000003,23.384375860000034,51.49421010370086,46.1249477953789
CO,2016,38.65712455999997,53.80460421000001,48.1569803828474,43.25139737143104
CO,2020,5.25445915,9.53059096,55.400001166734675,41.89827117554352
CT,2012,2.8294937399999993,15.618517480000003,58.14462568754096,40.70372894176565
CT,2016,0.08654358000000002,0.80087306,54.56630109670987,40.92691437881478
CT,2020,0.09573525999999999,0.0,59.23871335540597,39.20949634924463
DC,2012,1.495414639999999,0.0,90.91311392818726,7.2782914176005225
DC,2016,0.0,0.0,90.86382152999987,4.087474459308377
DC,2020,0.0021452199999999998,942.1175414300002,92.14969392140692,5.397321376714795
DE,2012,0.14907685999999998,0.9724115400000004,58.60408709537925,39.97806429480815
DE,2016,0.0,0.017905059999999997,53.183881606421714,41.789673519233766
DE,2020,2.09467592,0.0,58.78216702049563,39.80139282950735
FL,2012,22.618086039999927,59.320220029999966,50.00786506869869,49.13097776197552
FL,2016,66.56850993000374,70.08042036000109,47.82331580580505,49.021941416590735
FL,2020,71.15891884999999,54.55675367000005,47.86145072544223,51.21981962250403
GA,2012,4.809566309999998,8.007089279999995,45.48216048512199,53.29900898706427
GA,2016,16.204665730000002,18.397942620000006,45.64021628736502,50.771585173296494
