FIPS,state,year,votes_dem,votes_gop,total_votes,pop,white_pop,black_pop,asian_pop,indian_pop,pacific_pop,two_pop,not_hisp_pop,hisp_pop
1041.0,Alabama,2012,2050.0,4331.0,6418,13915.0,10049.0,3344.0,213.0,75.0,11.0,223.0,13698.0,217.0
1041.0,Alabama,2016,1664.0,4513.0,6267,13916.0,10118.0,3286.0,170.0,80.0,4.0,258.0,13643.0,273.0
1043.0,Alabama,2012,5052.0,28999.0,34457,80279.0,77588.0,910.0,399.0,453.0,36.0,893.0,76950.0,3329.0
1043.0,Alabama,2016,3798.0,32989.0,37873,82450.0,79224.0,1034.0,555.0,519.0,62.0,1056.0,78861.0,3589.0
1045.0,Alabama,2012,5286.0,13108.0,18557,50289.0,38047.0,9756.0,598.0,398.0,59.0,1431.0,47424.0,2865.0
1045.0,Alabama,2016,4413.0,13808.0,18749,49362.0,36835.0,10039.0,655.0,422.0,85.0,1326.0,46269.0,3093.0
1047.0,Alabama,2012,14612.0,6288.0,20953,42789.0,12351.0,29845.0,170.0,95.0,17.0,311.0,42393.0,396.0
1047.0,Alabama,2016,12836.0,5789.0,18792,40080.0,11205.0,28210.0,204.0,109.0,19.0,333.0,39657.0,423.0
1049.0,Alabama,2012,5239.0,18331.0,23863,70944.0,65878.0,1275.0,282.0,1477.0,531.0,1501.0,61107.0,9837.0
1049.0,Alabama,2016,3622.0,21405.0,25826,71104.0,66058.0,1278.0,335.0,1421.0,445.0,1567.0,60952.0,10152.0
1051.0,Alabama,2012,8954.0,26253.0,35485,80193.0,61310.0,16653.0,578.0,345.0,88.0,1219.0,78023.0,2170.0
1051.0,Alabama,2016,8443.0,27634.0,37260,81204.0,61580.0,17210.0,592.0,387.0,98.0,1337.0,78916.0,2288.0
1053.0,Alabama,2012,5489.0,9287.0,14869,38023.0,23805.0,12187.0,99.0,1325.0,20.0,587.0,37294.0,729.0
1053.0,Alabama,2016,4605.0,9935.0,14845,37475.0,23173.0,12060.0,101.0,1374.0,24.0,743.0,36648.0,827.0
1055.0,Alabama,2012,12803.0,29130.0,42530,104278.0,85154.0,15981.0,784.0,545.0,311.0,1503.0,100611.0,3667.0
1055.0,Alabama,2016,10442.0,32353.0,44164,102855.0,83297.0,16101.0,824.0,612.0,305.0,1716.0,98980.0,3875.0
1057.0,Alabama,2012,1817.0,6054.0,7946,16945.0,14742.0,1928.0,38.0,68.0,1.0,168.0,16705.0,240.0
1057.0,Alabama,2016,1362.0,6712.0,8249,16563.0,14265.0,1953.0,63.0,75.0,1.0,206.0,16286.0,277.0
1059.0,Alabama,2012,3171.0,7567.0,10859,31690.0,29244.0,1386.0,94.0,459.0,50.0,457.0,26804.0,4886.0
1059.0,Alabama,2016,2197.0,9466.0,12040,31611.0,28981.0,1433.0,144.0,471.0,73.0,509.0,26285.0,5326.0
1061.0,Alabama,2012,2039.0,9175.0,11320,26924.0,23536.0,2623.0,84.0,231.0,17.0,433.0,25951.0,973.0
1061.0,Alabama,2016,1525.0,9994.0,11758,26494.0,23153.0,2500.0,88.0,256.0,21.0,476.0,25462.0,1032.0
1063.0,Alabama,2012,4521.0,804.0,5340,8848.0,1574.0,7189.0,13.0,18.0,0.0,54.0,8762.0,86.0
1063.0,Alabama,2016,4013.0,838.0,4880,8482.0,1512.0,6859.0,24.0,25.0,0.0,62.0,8372.0,110.0
1065.0,Alabama,2012,5411.0,3210.0,8643,15364.0,6213.0,8995.0,43.0,27.0,1.0,85.0,15207.0,157.0
